	One_digit_id	Chain_pdbff	Number_of_residues	UA_Active_site	UA_Binding_site	UA_Cross-link	UA_DNA_binding	UA_Glycosylation	UA_Intramembrane	UA_Lipidation	UA_Natural_variant	UA_Repeat	UA_Site	UA_Transmembrane	UA_Zinc_finger	Helices[G,H,I]	HelicesPercent[G,H,I]	Strands[E,B]	StrandsPercent[E,B]	Loops[E,B]	LoopsPercent[E,B]	pH_pHcrystal	⟨Z⟩_Complex_pH7	⟨Z⟩_Monomer_pH7	⟨Z⟩_Complex_pHcrystal	⟨Z⟩_Monomer_pHcrystal	⟨Z²⟩-⟨Z⟩²_Complex_pH7	⟨Z²⟩-⟨Z⟩²_Monomer_pH7	⟨Z²⟩-⟨Z⟩²_Complex_pHcrystal	⟨Z²⟩-⟨Z⟩²_Monomer_pHcrystal	⟨μ⟩_Complex_pH7	⟨μ⟩_Monomer_pH7	⟨μ⟩_Complex_pHcrystal	⟨μ⟩_Monomer_pHcrystal	⟨μ²⟩-⟨μ⟩²_Complex_pH7	⟨μ²⟩-⟨μ⟩²_Monomer_pH7	⟨μ²⟩-⟨μ⟩²_Complex_pHcrystal	⟨μ²⟩-⟨μ⟩²_Monomer_pHcrystal	SASA_Complex	SASA_Monomer	SASA_interface	Number_of_glycans	Number_of_modelled_residues
2934	6c6y_0	A	208	0	0	0	0	2	0	0	0	0	0	0	0	26	0.12	72	0.35	48	0.23	9.5	3.09	-0.84	-11.58	-6.14	2.0	0.72	7.91	2.93	106.47	29.06	142.1	35.23	1190.96	215.45	3555.68	357.26	9796.0	10705.7	909.7	0	0
2935	6c6y_0	B	431	0	0	0	0	0	0	0	0	0	0	0	0	23	0.05	210	0.49	95	0.22	9.5	3.09	4.0	-11.58	-5.84	2.0	1.4	7.91	5.67	106.47	64.26	142.1	79.95	1190.96	192.95	3555.68	719.07	18746.0	19630.3	884.3	0	3
2936	6c6z_0	A	199	0	0	0	0	2	0	0	0	0	0	0	0	31	0.16	71	0.36	43	0.22	6.5	3.63	-1.32	5.4	-1.02	1.93	0.47	2.59	0.57	180.23	24.12	189.39	27.38	2019.41	93.99	2687.48	106.53	10147.5	11045.9	898.4	2	11
2937	6c6z_0	B	443	0	0	0	0	0	0	0	0	0	0	0	0	37	0.08	220	0.5	80	0.18	6.5	3.63	5.01	5.4	6.35	1.93	1.4	2.59	1.93	180.23	91.79	189.39	87.14	2019.41	287.93	2687.48	419.04	19536.4	20420.3	883.9	0	4
2938	6c9u_0	A	910	4	0	0	0	0	0	0	0	0	2	0	0	367	0.4	151	0.17	184	0.2	7.0	-22.1	-29.91	-22.1	-29.91	5.21	3.98	5.21	3.98	1379.96	268.66	1379.96	268.66	7340.34	1728.25	7340.34	1728.25	36761.7	37181.2	419.5	0	14
2939	6c9u_0	B	433	0	0	0	0	0	0	0	0	0	0	0	0	27	0.06	205	0.47	92	0.21	7.0	-22.1	7.75	-22.1	7.75	5.21	1.29	5.21	1.29	1379.96	97.66	1379.96	97.66	7340.34	109.8	7340.34	109.8	20679.3	21095.1	415.8	0	19
2940	6c9w_0	A	406	0	0	0	0	0	0	0	0	0	6	296	0	322	0.79	0	0.0	53	0.13	8.5	8.66	6.22	5.94	4.3	1.7	1.39	2.62	1.79	263.03	224.07	274.11	229.85	950.42	477.38	1383.04	400.14	17209.0	18008.5	799.5	0	10
2941	6c9w_0	B	125	0	0	0	0	0	0	0	0	0	0	0	0	6	0.05	54	0.43	29	0.23	8.5	8.66	2.48	5.94	1.48	1.7	0.3	2.62	1.05	263.03	75.72	274.11	73.58	950.42	15.87	1383.04	34.96	5599.0	6461.7	862.7	0	0
2942	6cbv_0	A	103	0	2	0	0	0	0	0	0	0	0	0	0	76	0.74	0	0.0	16	0.16	7.5	2.53	-4.63	1.68	-4.9	1.76	0.76	1.39	0.6	299.45	44.55	298.97	45.07	1559.62	83.41	1247.36	79.86	5607.4	6317.5	710.1	0	0
2943	6cbv_0	B	440	0	0	0	0	0	0	0	0	0	0	0	0	35	0.08	219	0.5	86	0.2	7.5	2.53	7.14	1.68	6.52	1.76	0.96	1.39	0.7	299.45	71.65	298.97	68.14	1559.62	297.42	1247.36	221.3	18710.0	19410.0	700.0	0	0
2944	6ccb_0	A	444	0	0	0	0	13	0	0	0	0	0	0	0	52	0.12	156	0.35	94	0.21	6.5	10.95	3.65	14.24	5.58	3.38	1.74	4.46	2.52	335.84	302.06	352.28	308.16	997.39	703.92	1331.34	849.08	26330.7	26768.9	438.2	16	4
2945	6ccb_0	B	446	0	0	0	0	0	0	0	0	0	0	0	0	26	0.06	205	0.46	100	0.22	6.5	10.95	7.24	14.24	8.56	3.38	1.63	4.46	2.21	335.84	103.0	352.28	98.57	997.39	354.18	1331.34	383.33	21058.9	21506.5	447.6	0	5
2946	6cde_3	A	473	0	0	0	0	9	0	0	0	0	0	0	0	58	0.12	167	0.35	100	0.21	7.0	11.61	10.35	11.61	10.35	2.93	1.62	2.93	1.62	229.17	109.34	229.17	109.34	3902.89	395.22	3902.89	395.22	25864.1	26468.2	604.1	9	21
2947	6cde_3	B	241	0	0	0	0	0	0	0	0	0	0	0	0	6	0.02	81	0.34	58	0.24	7.0	11.61	1.34	11.61	1.34	2.93	1.42	2.93	1.42	229.17	111.44	229.17	111.44	3902.89	348.47	3902.89	348.47	11789.3	12393.1	603.8	0	0
2948	6cdi_4	A	473	0	0	0	0	9	0	0	0	0	0	0	0	52	0.11	161	0.34	112	0.24	7.0	11.86	10.42	11.86	10.42	3.17	1.62	3.17	1.62	233.81	99.24	233.81	99.24	4451.64	330.94	4451.64	330.94	25566.2	26130.3	564.1	17	20
2949	6cdi_4	B	237	0	0	0	0	0	0	0	0	0	0	0	0	3	0.01	90	0.38	68	0.29	7.0	11.86	1.35	11.86	1.35	3.17	1.33	3.17	1.33	233.81	109.3	233.81	109.3	4451.64	354.02	4451.64	354.02	11243.6	11852.3	608.7	0	0
2950	6ce0_0	A	137	0	0	0	0	3	0	0	0	0	0	0	0	76	0.55	0	0.0	27	0.2	7.4	3.02	-4.17	2.35	-4.21	2.06	0.52	1.8	0.5	309.9	95.78	305.32	96.17	1457.52	238.33	1350.54	232.1	10586.1	11066.5	480.4	1	0
2951	6ce0_0	B	453	0	0	0	0	0	0	0	0	0	0	0	0	26	0.06	216	0.48	99	0.22	7.4	3.02	7.28	2.35	6.55	2.06	1.54	1.8	1.22	309.9	74.15	305.32	73.75	1457.52	267.85	1350.54	212.47	21562.6	22079.6	517.0	0	0
2952	6ce0_1	A	460	0	0	0	0	15	0	0	0	0	0	0	0	58	0.13	174	0.38	101	0.22	7.4	17.44	10.43	15.75	9.52	3.16	1.13	2.4	0.79	216.1	101.52	215.09	101.91	4465.27	96.83	3665.57	81.84	24948.0	26542.1	1594.1	21	14
2953	6ce0_1	B	442	0	0	0	0	0	0	0	0	0	0	0	0	18	0.04	210	0.48	105	0.24	7.4	17.44	6.95	15.75	6.24	3.16	1.9	2.4	1.62	216.1	65.56	215.09	67.32	4465.27	186.84	3665.57	164.04	20603.7	21462.6	858.9	0	5
2954	6ch7_0	A	145	0	0	0	0	3	0	0	0	0	0	0	0	70	0.48	0	0.0	41	0.28	8.0	6.82	-1.04	4.95	-1.25	2.1	0.64	1.95	0.58	274.53	198.54	271.47	194.21	846.52	395.41	815.46	250.24	11680.4	12124.7	444.3	2	11
2955	6ch7_0	B	445	0	0	0	0	0	0	0	0	0	0	0	0	13	0.03	124	0.28	108	0.24	8.0	6.82	7.8	4.95	6.11	2.1	1.46	1.95	1.36	274.53	71.82	271.47	77.17	846.52	215.06	815.46	247.25	22658.3	23185.5	527.2	0	6
2956	6ch7_1	A	474	0	0	0	0	9	0	0	0	0	0	0	0	52	0.11	151	0.32	108	0.23	8.0	18.3	10.24	14.66	8.41	2.58	1.14	2.21	0.86	191.21	92.25	181.44	94.15	2613.57	109.4	2017.28	145.74	25620.1	26199.6	579.5	15	22
2957	6ch7_1	B	442	0	0	0	0	0	0	0	0	0	0	0	0	7	0.02	103	0.23	110	0.25	8.0	18.3	8.04	14.66	6.26	2.58	1.5	2.21	1.25	191.21	88.84	181.44	81.43	2613.57	765.84	2017.28	636.51	22859.4	23460.9	601.5	0	0
2958	6ch8_0	A	145	0	0	0	0	3	0	0	0	0	0	0	0	66	0.46	0	0.0	49	0.34	8.0	6.85	-1.01	4.89	-1.22	1.98	0.64	1.81	0.57	283.16	201.52	280.0	196.97	817.35	394.88	804.09	266.03	11839.5	12314.0	474.5	3	6
2959	6ch8_0	B	445	0	0	0	0	0	0	0	0	0	0	0	0	11	0.02	167	0.38	107	0.24	8.0	6.85	7.83	4.89	6.12	1.98	1.46	1.81	1.36	283.16	80.98	280.0	85.0	817.35	221.9	804.09	211.11	22342.5	22825.3	482.8	0	0
2960	6ch8_1	A	474	0	0	0	0	9	0	0	0	0	0	0	0	42	0.09	160	0.34	118	0.25	8.0	18.54	10.24	14.95	8.32	2.9	1.17	2.38	0.92	170.52	77.19	159.19	79.24	2944.18	102.27	2428.07	147.21	25700.3	26348.1	647.8	18	23
2961	6ch8_1	B	439	0	0	0	0	0	0	0	0	0	0	0	0	4	0.01	112	0.26	110	0.25	8.0	18.54	8.25	14.95	6.58	2.9	1.62	2.38	1.51	170.52	79.71	159.19	74.28	2944.18	804.99	2428.07	673.5	22608.5	23230.2	621.7	0	0
2962	6ch9_0	A	464	0	0	0	0	12	0	0	0	0	0	0	0	44	0.09	136	0.29	109	0.23	8.0	14.56	6.71	10.76	4.49	3.16	1.92	2.88	1.34	344.48	311.47	323.84	303.53	3332.65	625.91	2847.6	470.87	26396.8	27246.1	849.3	15	16
2963	6ch9_0	B	442	0	0	0	0	0	0	0	0	0	0	0	0	9	0.02	111	0.25	106	0.24	8.0	14.56	7.91	10.76	6.32	3.16	1.46	2.88	1.2	344.48	108.91	323.84	103.86	3332.65	829.48	2847.6	655.95	22152.2	22998.8	846.6	0	6
2964	6ch9_1	A	145	0	0	0	0	3	0	0	0	0	0	0	0	70	0.48	0	0.0	49	0.34	8.0	3.66	-3.74	1.49	-4.16	2.49	0.81	2.16	0.59	333.0	185.08	335.68	183.97	1428.25	449.49	1163.77	272.23	11526.4	11935.2	408.8	3	9
2965	6ch9_1	B	453	0	0	0	0	0	0	0	0	0	0	0	0	11	0.02	181	0.4	116	0.26	8.0	3.66	7.29	1.49	5.6	2.49	1.64	2.16	1.68	333.0	81.36	335.68	82.93	1428.25	205.59	1163.77	185.67	20914.2	21343.0	428.8	0	4
2966	6chb_2	A	473	0	0	0	0	9	0	0	0	0	0	0	0	63	0.13	136	0.29	112	0.24	8.0	18.56	10.44	14.94	8.52	3.52	1.78	2.55	1.31	243.77	118.05	231.67	119.47	4344.0	315.24	3272.65	399.32	26409.0	27096.0	687.0	0	23
2967	6chb_2	B	442	0	0	0	0	0	0	0	0	0	0	0	0	30	0.07	194	0.44	93	0.21	8.0	18.56	8.05	14.94	6.33	3.52	1.45	2.55	1.23	243.77	123.37	231.67	119.51	4344.0	778.54	3272.65	558.84	21507.5	22161.1	653.6	0	10
2968	6ck9_0	A	455	0	0	0	0	0	0	0	0	0	0	0	0	57	0.13	155	0.34	97	0.21	7.0	18.35	10.55	18.35	10.55	3.51	1.83	3.51	1.83	175.32	90.65	175.32	90.65	6095.28	1967.78	6095.28	1967.78	23715.3	24360.7	645.4	17	25
2969	6ck9_0	B	443	0	0	0	0	0	0	0	0	0	0	0	0	17	0.04	206	0.47	99	0.22	7.0	18.35	7.89	18.35	7.89	3.51	1.76	3.51	1.76	175.32	90.02	175.32	90.02	6095.28	235.76	6095.28	235.76	20537.0	21174.1	637.1	0	13
2970	6ck9_1	A	129	0	0	0	0	2	0	0	0	0	0	0	0	69	0.53	0	0.0	34	0.26	7.0	-1.63	-4.0	-1.63	-4.0	2.13	0.68	2.13	0.68	210.0	166.5	210.0	166.5	668.24	262.62	668.24	262.62	11551.2	12070.4	519.2	2	0
2971	6ck9_1	B	233	0	0	0	0	0	0	0	0	0	0	0	0	6	0.03	99	0.42	58	0.25	7.0	-1.63	2.33	-1.63	2.33	2.13	1.34	2.13	1.34	210.0	40.14	210.0	40.14	668.24	119.48	668.24	119.48	10826.1	11331.4	505.3	0	5
2972	6cm3_3	A	118	0	0	0	0	3	0	0	0	0	0	0	0	73	0.62	0	0.0	24	0.2	8.0	4.97	1.14	3.73	0.94	1.79	0.66	1.41	0.59	188.34	143.54	182.97	139.11	693.8	269.39	448.04	142.51	10728.9	11279.9	551.0	1	0
2973	6cm3_3	B	238	0	0	0	0	0	0	0	0	0	0	0	0	3	0.01	106	0.45	59	0.25	8.0	4.97	3.8	3.73	2.79	1.79	1.16	1.41	0.94	188.34	67.59	182.97	61.61	693.8	206.54	448.04	192.62	10534.2	11098.9	564.7	0	0
2974	6cmg_0	A	428	0	0	0	0	5	0	0	0	0	0	0	0	10	0.02	202	0.47	115	0.27	7.0	6.73	-1.79	6.73	-1.79	2.83	1.52	2.83	1.52	328.52	81.63	328.52	81.63	4612.43	496.53	4612.43	496.53	16930.6	17803.9	873.3	5	0
2975	6cmg_0	B	445	0	0	0	0	0	0	0	0	0	0	0	0	15	0.03	224	0.5	99	0.22	7.0	6.73	8.49	6.73	8.49	2.83	1.14	2.83	1.14	328.52	76.49	328.52	76.49	4612.43	257.08	4612.43	257.08	20348.9	21343.0	994.1	0	13
2976	6cmi_0	A	428	0	0	0	0	5	0	0	0	0	0	0	0	19	0.04	202	0.47	101	0.24	7.0	7.31	-1.75	7.31	-1.75	2.61	1.52	2.61	1.52	366.8	86.14	366.8	86.14	3542.09	463.67	3542.09	463.67	16736.7	17733.8	997.1	5	0
2977	6cmi_0	B	446	0	0	0	0	0	0	0	0	0	0	0	0	31	0.07	227	0.51	85	0.19	7.0	7.31	8.99	7.31	8.99	2.61	0.94	2.61	0.94	366.8	68.86	366.8	68.86	3542.09	153.77	3542.09	153.77	19602.5	20716.6	1114.1	0	5
2978	6cmo_0	A	694	0	24	0	0	0	0	2	16	295	0	0	0	218	0.31	169	0.24	151	0.22	7.2	-0.48	-9.8	-1.71	-10.82	5.2	3.47	4.51	2.87	770.0	315.5	784.87	318.42	6422.07	1397.63	5684.64	1281.53	38285.8	39225.2	939.4	0	0
2979	6cmo_0	B	441	0	0	0	0	0	0	0	0	0	0	0	0	21	0.05	165	0.37	96	0.22	7.2	-0.48	9.31	-1.71	9.01	5.2	1.61	4.51	1.49	770.0	49.33	784.87	49.87	6422.07	306.37	5684.64	293.81	22520.3	23440.2	919.9	0	0
2980	6cnj_1	A	745	0	2	0	0	5	0	1	2	0	3	165	0	247	0.33	181	0.24	169	0.23	7.4	-5.0	-10.81	-7.55	-12.72	4.8	3.04	3.68	2.05	350.5	277.54	354.8	270.8	5901.13	4301.61	4548.25	2867.81	38335.8	39102.5	766.7	2	17
2981	6cnj_1	B	436	0	0	0	0	0	0	0	0	0	0	0	0	10	0.02	194	0.44	110	0.25	7.4	-5.0	5.92	-7.55	5.16	4.8	1.99	3.68	1.68	350.5	125.81	354.8	125.86	5901.13	1154.03	4548.25	1019.04	21006.9	21768.1	761.2	0	0
2982	6cnv_0	A	150	0	0	0	0	0	0	0	0	0	0	0	0	79	0.53	12	0.08	28	0.19	4.5	-3.65	-8.22	18.8	3.94	3.13	1.57	9.33	4.18	411.44	277.4	196.74	191.8	1586.78	1227.67	4958.87	3669.96	10526.8	11113.9	587.1	0	0
2983	6cnv_0	B	431	0	0	0	0	0	0	0	0	0	0	0	0	31	0.07	211	0.49	93	0.22	4.5	-3.65	4.78	18.8	14.88	3.13	1.72	9.33	4.78	411.44	45.63	196.74	71.11	1586.78	213.76	4958.87	1076.9	19118.0	19699.7	581.7	0	8
2984	6cnv_1	A	346	0	0	0	0	1	0	0	0	0	0	0	0	28	0.08	114	0.33	81	0.23	4.5	19.16	19.14	33.43	31.26	2.24	2.18	5.02	3.71	426.32	269.89	502.26	284.19	6552.18	5736.22	8302.79	6972.67	17413.8	18085.9	672.1	5	0
2985	6cnv_1	B	116	0	0	0	0	0	0	0	0	0	0	0	0	12	0.1	56	0.48	21	0.18	4.5	19.16	-0.02	33.43	2.34	2.24	0.04	5.02	1.51	426.32	19.38	502.26	25.68	6552.18	0.99	8302.79	116.52	5240.7	5909.9	669.2	0	0
2986	6crk_0	A	744	0	24	0	0	0	0	1	33	295	0	0	0	251	0.34	210	0.28	155	0.21	5.0	-9.81	-10.55	15.09	10.54	4.06	3.5	10.62	9.42	298.35	142.23	265.98	191.75	2015.07	1184.97	4570.95	2982.16	32426.8	33469.6	1042.8	0	0
2987	6crk_0	B	248	0	0	0	0	0	0	0	0	0	0	0	0	9	0.04	113	0.46	63	0.25	5.0	-9.81	0.43	15.09	4.64	4.06	0.47	10.62	1.52	298.35	79.42	265.98	78.04	2015.07	23.86	4570.95	330.04	10643.5	11542.5	899.0	0	12
2988	6crq_1	A	473	0	0	0	0	9	0	0	0	0	0	0	0	74	0.16	161	0.34	82	0.17	7.4	16.25	10.97	15.04	10.06	2.49	1.5	1.88	1.06	88.36	92.8	90.21	94.08	516.43	131.0	551.79	109.64	24970.3	25857.5	887.2	15	23
2989	6crq_1	B	225	0	0	0	0	0	0	0	0	0	0	0	0	17	0.08	106	0.47	45	0.2	7.4	16.25	5.29	15.04	5.01	2.49	0.87	1.88	0.77	88.36	48.89	90.21	48.38	516.43	159.57	551.79	146.12	10375.2	11282.8	907.6	0	0
2990	6csy_0	A	447	0	0	0	0	0	0	0	0	0	0	0	0	327	0.73	17	0.04	61	0.14	7.5	11.37	10.07	9.96	9.22	2.33	1.5	1.7	1.17	230.93	230.32	226.69	234.41	798.86	194.52	423.46	132.82	21658.2	23114.5	1456.3	0	0
2991	6csy_0	B	122	0	0	0	0	0	0	0	0	0	0	0	0	6	0.05	61	0.5	29	0.24	7.5	11.37	1.37	9.96	0.78	2.33	0.88	1.7	0.58	230.93	57.3	226.69	50.52	798.86	236.1	423.46	128.14	5495.6	6903.8	1408.2	0	0
2992	6cue_5	A	473	0	0	0	0	21	0	0	0	0	0	0	0	46	0.1	161	0.34	118	0.25	7.0	12.22	10.9	12.22	10.9	2.78	1.42	2.78	1.42	258.62	94.54	258.62	94.54	4157.14	216.53	4157.14	216.53	26152.5	26684.3	531.8	14	20
2993	6cue_5	B	239	0	0	0	0	0	0	0	0	0	0	0	0	6	0.03	92	0.38	56	0.23	7.0	12.22	1.39	12.22	1.39	2.78	1.48	2.78	1.48	258.62	111.08	258.62	111.08	4157.14	322.57	4157.14	322.57	11749.4	12300.8	551.4	0	0
2994	6cuf_5	A	473	0	0	0	0	21	0	0	0	0	0	0	0	53	0.11	157	0.33	109	0.23	7.0	11.87	10.44	11.87	10.44	3.22	1.66	3.22	1.66	223.9	99.23	223.9	99.23	4643.67	344.72	4643.67	344.72	26417.2	26970.6	553.4	7	20
2995	6cuf_5	B	237	0	0	0	0	0	0	0	0	0	0	0	0	9	0.04	100	0.42	54	0.23	7.0	11.87	1.39	11.87	1.39	3.22	1.44	3.22	1.44	223.9	107.94	223.9	107.94	4643.67	352.1	4643.67	352.1	11268.9	11828.6	559.7	0	0
2996	6cvk_0	A	154	0	0	0	0	0	0	0	0	0	0	0	0	115	0.75	0	0.0	15	0.1	6.5	1.58	-4.23	2.81	-3.49	1.58	1.02	2.18	1.29	207.06	58.83	205.2	56.1	589.96	34.94	800.74	39.0	8579.8	9585.4	1005.6	0	0
2997	6cvk_0	B	241	0	0	0	0	0	0	0	0	0	0	0	0	6	0.02	120	0.5	55	0.23	6.5	1.58	5.77	2.81	6.26	1.58	0.55	2.18	0.74	207.06	89.64	205.2	97.87	589.96	154.85	800.74	259.79	11040.7	12036.3	995.6	0	0
2998	6cw2_0	A	356	1	22	0	0	0	0	0	0	0	1	0	0	125	0.35	72	0.2	82	0.23	8.5	13.72	6.06	6.96	2.44	3.31	1.82	5.16	2.88	165.33	138.3	166.56	139.54	605.87	425.99	1258.57	730.24	17285.8	18698.3	1412.5	0	0
2999	6cw2_0	B	444	0	0	0	0	0	0	0	0	0	0	0	0	26	0.06	206	0.46	88	0.2	8.5	13.72	7.66	6.96	4.75	3.31	1.29	5.16	2.28	165.33	50.2	166.56	44.63	605.87	484.08	1258.57	426.16	19122.6	20566.9	1444.3	0	28
3000	6cw3_0	A	338	1	22	0	0	0	0	0	0	0	1	0	57	123	0.36	54	0.16	80	0.24	7.0	18.23	10.0	18.23	10.0	3.07	1.99	3.07	1.99	248.91	224.87	248.91	224.87	1029.63	503.45	1029.63	503.45	17550.4	18496.5	946.1	0	19
3001	6cw3_0	B	439	0	0	0	0	0	0	0	0	0	0	0	0	34	0.08	214	0.49	81	0.18	7.0	18.23	8.29	18.23	8.29	3.07	1.11	3.07	1.11	248.91	88.72	248.91	88.72	1029.63	708.4	1029.63	708.4	19736.2	20790.8	1054.6	0	6
3002	6cwd_0	A	141	0	0	0	0	0	0	0	0	0	0	0	0	77	0.55	0	0.0	27	0.19	7.0	1.12	-3.32	1.12	-3.32	1.33	1.04	1.33	1.04	175.36	85.78	175.36	85.78	452.28	49.9	452.28	49.9	8726.7	9738.0	1011.3	0	8
3003	6cwd_0	B	231	0	0	0	0	0	0	0	0	0	0	0	0	9	0.04	114	0.49	51	0.22	7.0	1.12	4.48	1.12	4.48	1.33	0.31	1.33	0.31	175.36	59.44	175.36	59.44	452.28	33.74	452.28	33.74	10265.7	11263.1	997.4	0	0
3004	6cwg_1	A	263	4	19	0	0	2	0	0	0	0	0	0	0	99	0.38	60	0.23	55	0.21	10.5	0.52	0.04	-19.96	-13.16	1.61	1.3	5.22	3.02	102.13	82.86	137.73	98.84	361.32	180.77	2060.08	508.93	11968.2	12542.5	574.3	0	1
3005	6cwg_1	B	127	0	0	0	0	0	0	0	0	0	0	0	0	14	0.11	62	0.49	23	0.18	10.5	0.52	0.48	-19.96	-7.33	1.61	0.27	5.22	2.39	102.13	53.39	137.73	52.77	361.32	27.85	2060.08	178.96	5800.1	6386.3	586.2	0	0
3006	6cwt_1	A	124	0	0	0	0	0	0	0	0	0	0	0	0	59	0.48	2	0.02	33	0.27	6.5	-1.07	-4.35	0.92	-3.61	2.04	1.03	2.65	1.34	340.62	73.91	332.27	72.43	1629.79	44.47	2170.73	55.49	8982.2	9913.1	930.9	0	0
3007	6cwt_1	B	428	0	0	0	0	0	0	0	0	0	0	0	0	20	0.05	188	0.44	92	0.21	6.5	-1.07	3.26	0.92	4.44	2.04	1.02	2.65	1.52	340.62	118.72	332.27	117.8	1629.79	174.78	2170.73	292.19	18420.5	19403.2	982.7	0	0
3008	6cxy_0	A	213	0	2	0	0	3	0	0	13	0	2	0	0	7	0.03	93	0.44	56	0.26	7.2	-8.6	-15.16	-9.15	-15.32	2.8	0.62	2.54	0.51	532.8	165.51	529.63	163.16	2696.25	708.8	2503.51	650.82	11479.8	12231.8	752.0	0	0
3009	6cxy_0	B	436	0	0	0	0	0	0	0	0	0	0	0	0	34	0.08	232	0.53	80	0.18	7.2	-8.6	6.54	-9.15	6.16	2.8	2.2	2.54	1.97	532.8	138.28	529.63	139.57	2696.25	1388.7	2503.51	1330.72	19359.2	20085.4	726.2	0	9
3010	6cyf_3	A	127	0	0	0	0	0	0	0	0	0	0	0	0	67	0.53	4	0.03	30	0.24	7.5	-1.34	-4.48	-2.08	-4.52	2.34	0.79	2.02	0.78	264.37	40.95	255.2	40.96	3637.64	39.58	3387.12	38.38	7205.5	7895.8	690.3	0	0
3011	6cyf_3	B	440	0	0	0	0	0	0	0	0	0	0	0	0	30	0.07	221	0.5	90	0.2	7.5	-1.34	3.14	-2.08	2.53	2.34	1.5	2.02	1.17	264.37	68.93	255.2	69.11	3637.64	486.19	3387.12	433.38	19521.3	20138.2	616.9	0	2
3012	6d0u_2	A	267	0	0	0	0	3	0	0	1	0	0	0	0	30	0.11	104	0.39	56	0.21	5.5	4.61	5.95	12.23	8.72	2.42	1.17	3.85	1.46	194.44	73.81	199.55	72.61	594.33	125.68	1153.6	172.09	11341.3	12049.3	708.0	0	0
3013	6d0u_2	B	451	0	0	0	0	0	0	0	0	0	0	0	0	27	0.06	232	0.51	96	0.21	5.5	4.61	-1.24	12.23	3.55	2.42	1.24	3.85	2.5	194.44	294.12	199.55	307.66	594.33	739.52	1153.6	1443.53	19534.2	20271.3	737.1	0	0
3014	6d2p_0	A	169	0	0	0	0	0	0	0	0	0	0	0	0	31	0.18	63	0.37	31	0.18	5.0	12.2	2.04	23.56	6.32	2.16	0.7	4.52	1.67	85.45	93.01	111.07	74.03	632.14	118.47	1182.57	124.61	7573.5	8587.9	1014.4	0	0
3015	6d2p_0	B	431	0	0	0	0	0	0	0	0	0	0	0	0	28	0.06	209	0.48	91	0.21	5.0	12.2	10.21	23.56	17.34	2.16	1.64	4.52	2.85	85.45	96.79	111.07	75.2	632.14	466.49	1182.57	389.48	19031.0	20015.6	984.6	0	8
3016	6d9w_0	A	375	0	0	0	0	0	0	0	0	0	0	210	0	286	0.76	0	0.0	45	0.12	4.5	3.95	2.65	26.8	13.72	2.77	1.18	7.74	3.2	338.26	214.82	367.76	244.1	3424.62	274.56	6931.97	984.74	20095.6	20806.5	710.9	0	13
3017	6d9w_0	B	426	0	0	0	0	0	0	0	0	0	0	0	0	24	0.06	212	0.5	80	0.19	4.5	3.95	1.51	26.8	13.39	2.77	1.74	7.74	4.85	338.26	108.96	367.76	99.95	3424.62	494.27	6931.97	1092.98	19398.3	20059.2	660.9	0	2
3018	6dbf_0	A	208	0	0	0	0	0	0	0	0	155	0	0	0	44	0.21	28	0.13	52	0.25	8.0	0.26	-1.47	-1.17	-2.46	1.17	0.76	1.07	0.51	87.26	130.3	100.66	142.38	284.97	253.48	250.49	195.94	9746.4	10381.7	635.3	0	0
3019	6dbf_0	B	123	0	0	0	0	0	0	0	0	0	0	0	0	13	0.11	64	0.52	22	0.18	8.0	0.26	1.65	-1.17	1.24	1.17	0.45	1.07	0.5	87.26	59.73	100.66	56.58	284.97	105.18	250.49	91.08	5620.6	6364.8	744.2	0	2
3020	6dbg_0	A	286	0	0	0	0	0	0	0	0	155	0	0	0	45	0.16	78	0.27	67	0.23	5.0	1.7	0.06	11.77	7.47	1.7	1.34	4.18	3.07	153.79	188.82	98.6	126.0	707.6	673.2	547.85	550.41	13130.8	13804.9	674.1	0	0
3021	6dbg_0	B	122	0	0	0	0	0	0	0	0	0	0	0	0	10	0.08	68	0.56	25	0.2	5.0	1.7	1.65	11.77	4.6	1.7	0.45	4.18	1.31	153.79	65.63	98.6	77.12	707.6	101.6	547.85	278.47	5586.8	6383.7	796.9	0	4
3022	6dc3_0	A	452	0	0	0	0	3	0	0	3	0	1	0	0	140	0.31	149	0.33	79	0.17	7.0	10.65	3.18	10.65	3.18	2.43	0.8	2.43	0.8	372.73	270.99	372.73	270.99	5507.12	840.82	5507.12	840.82	21539.1	22381.8	842.7	1	0
3023	6dc3_0	B	442	0	0	0	0	0	0	0	0	0	0	0	0	31	0.07	219	0.5	95	0.21	7.0	10.65	7.38	10.65	7.38	2.43	1.65	2.43	1.65	372.73	69.12	372.73	69.12	5507.12	130.94	5507.12	130.94	19187.9	20035.4	847.5	0	0
3024	6dcq_1	A	757	0	0	0	0	0	0	0	0	0	0	0	0	177	0.23	179	0.24	203	0.27	7.4	10.66	4.54	9.4	3.44	4.16	2.86	3.65	2.44	242.35	229.22	236.84	220.63	2610.43	1880.75	2491.05	1648.21	40873.3	42262.0	1388.7	24	24
3025	6dcq_1	B	247	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	115	0.47	62	0.25	7.4	10.66	6.14	9.4	5.95	4.16	1.2	3.65	1.19	242.35	61.3	236.84	60.21	2610.43	187.05	2491.05	175.52	11288.7	12691.5	1402.8	0	0
